X,Y,Z
-523,-298,-933
-557,-313,-948
-575,-311,-951
-572,-315,-928
-560,-298,-926
-577,-308,-938
-580,-296,-926
-592,-306,-931
-610,-313,-911
-620,-313,-926
-612,-298,-921
-625,-313,-931
-625,-288,-923
-632,-291,-893
-641,-266,-958
-676,-271,-951
-651,-245,-943
-671,-250,-936
-678,-245,-951
-666,-253,-943
-693,-256,-951
-691,-245,-936
-688,-258,-928
-686,-237,-933
-718,-237,-908
-698,-237,-906
-718,-232,-918
-726,-242,-906
-726,-230,-928
-728,-217,-880
-736,-227,-911
-728,-220,-918
-716,-190,-936
-733,-183,-928
-731,-200,-890
-728,-168,-946
-708,-168,-953
-737,-156,-948
-750,-161,-941
-747,-141,-941
-740,-141,-948
-752,-117,-928
-755,-92,-938
-760,-133,-928
-765,-107,-938
-765,-107,-903
-790,-107,-943
-742,-65,-903
-790,-72,-913
-810,-77,-911
-815,-62,-877
-787,-43,-923
-810,-43,-921
-827,-36,-913
-853,-51,-908
-881,-61,-847
-863,-33,-921
-878,-36,-913
-876,-23,-901
-891,-3,-890
-908,-11,-885
-923,-6,-860
-955,-8,-850
-957,16,-857
-965,18,-825
-980,23,-832
-985,46,-812
-960,58,-845
-980,70,-830
-957,80,-812
-962,85,-845
-975,85,-801
-952,117,-845
-985,112,-862
-985,115,-852
-997,122,-852
-987,128,-840
-985,131,-837
-975,143,-835
-987,141,-850
-980,146,-817
-987,163,-830
-990,181,-801
-995,205,-788
-985,205,-808
-1002,205,-786
-987,212,-812
-992,215,-773
-1005,217,-788
-1010,227,-850
-997,237,-835
-1000,273,-808
-1000,288,-756
-1000,315,-788
-1007,313,-791
-1015,332,-773
-1020,332,-788
-1035,345,-776
-1012,362,-748
-1027,352,-756
-1042,355,-776
-1032,342,-751
-1050,355,-751
-1053,365,-727
-1068,357,-743
-1056,375,-722
-1047,383,-710
-1052,398,-715
-1071,403,-692
-1058,426,-746
-1030,465,-715
-1040,450,-738
-1042,421,-748
-1066,428,-692
-1045,450,-717
-1042,452,-727
-1047,485,-705
-1042,490,-692
-1040,511,-705
-1035,518,-675
-1037,531,-700
-1012,536,-697
-1007,516,-700
-990,523,-722
-987,506,-720
-965,523,-712
-965,538,-722
-980,523,-715
-952,543,-768
-950,565,-702
-938,546,-766
-943,521,-801
-938,551,-766
-946,548,-771
-948,541,-771
-950,546,-763
-933,556,-743
-918,548,-761
-918,546,-758
-911,536,-773
-901,526,-761
-893,511,-783
-878,528,-771
-888,513,-783
-873,516,-788
-873,516,-778
-876,508,-796
-858,508,-850
-843,506,-842
-848,497,-850
-861,501,-806
-846,485,-842
-835,470,-852
-832,472,-860
-827,455,-850
-817,455,-870
-825,450,-842
-837,421,-852
-797,442,-835
-817,418,-855
-795,401,-872
-795,393,-850
-785,386,-877
-770,370,-872
-777,378,-867
-785,383,-872
-792,393,-852
-777,398,-896
-770,386,-898
-772,372,-918
-777,352,-903
-762,352,-913
-747,355,-916
-755,330,-911
-726,288,-946
-733,251,-928
-708,215,-943
-713,192,-923
-696,161,-966
-688,163,-946
-653,181,-941
-646,161,-953
-633,141,-921
-641,107,-941
-646,87,-956
-615,43,-987
-632,38,-977
-638,53,-958
-656,-3,-985
-633,-13,-982
-636,-38,-977
-651,-62,-948
-653,-95,-951
-638,-77,-928
-671,-110,-946
-627,-95,-923
-658,-131,-936
-661,-146,-928
-666,-148,-901
-673,-171,-918
-671,-183,-916
-683,-187,-890
-681,-210,-887
-681,-205,-880
-671,-247,-903
-658,-273,-911
-643,-271,-901
-668,-276,-887
-668,-251,-847
-678,-311,-870
-673,-315,-872
-651,-330,-880
-668,-337,-862
-671,-352,-860
-671,-355,-837
-658,-372,-852
-673,-372,-860
-661,-365,-827
-661,-403,-827
-656,-393,-798
-661,-423,-808
-668,-426,-793
-676,-438,-788
-658,-467,-793
-658,-480,-778
-661,-513,-791
-638,-528,-786
-636,-570,-781
-646,-570,-756
-656,-612,-733
-673,-597,-682
-683,-656,-692
-676,-661,-672
-691,-633,-655
-686,-681,-650
-681,-673,-628
-676,-727,-586
-681,-752,-547
-691,-786,-487
-693,-822,-487
-708,-817,-473
-698,-813,-468
-688,-811,-446
-701,-891,-416
-683,-911,-372
-718,-903,-365
-698,-931,-318
-711,-941,-291
-711,-965,-301
-718,-947,-283
-716,-952,-271
-745,-952,-258
-716,-952,-220
-703,-950,-187
-716,-957,-170
-718,-975,-146
-716,-965,-131
-731,-952,-116
-708,-990,-77
-742,-1003,-77
-711,-1000,-35
-708,-1011,-10
-671,-1043,42
-686,-1033,47
-696,-1031,72
-706,-1023,118
-731,-1006,131
-708,-1003,170
-718,-1011,200
-733,-1021,195
-742,-987,232
-745,-1000,251
-755,-972,281
-772,-992,291
-736,-982,298
-742,-970,308
-733,-982,330
-731,-990,325
-718,-965,357
-711,-957,380
-708,-957,421
-698,-987,473
-703,-938,461
-718,-945,497
-686,-941,532
-711,-941,550
-696,-888,611
-728,-878,650
-737,-827,687
-731,-825,697
-733,-815,746
-726,-778,763
-733,-756,793
-737,-722,808
-716,-715,825
-731,-715,850
-716,-681,865
-737,-643,893
-737,-627,918
-728,-627,916
-740,-625,923
-731,-627,968
-711,-592,992
-721,-567,966
-718,-551,1005
-706,-531,1027
-708,-506,1042
-701,-482,1056
-686,-462,1081
-678,-438,1071
-671,-433,1086
-668,-401,1103
-651,-360,1116
-658,-337,1137
-632,-332,1152
-671,-345,1140
-633,-288,1157
-641,-268,1172
-638,-245,1180
-651,-235,1192
-651,-227,1210
-622,-207,1231
-625,-190,1205
-632,-178,1223
-673,-187,1185
-661,-161,1195
-643,-166,1197
-651,-156,1218
-656,-138,1212
-661,-148,1210
-661,-128,1195
-658,-117,1218
-661,-107,1218
-673,-87,1215
-671,-65,1218
-651,-38,1212
-678,-28,1223
-673,-11,1236
-651,11,1238
-651,36,1273
-658,36,1243
-663,36,1243
-653,102,1266
-633,122,1293
-653,138,1268
-656,163,1266
-668,200,1251
-663,217,1243
-653,256,1253
-646,245,1246
-653,251,1256
-653,253,1241
-673,256,1223
-636,296,1261
-643,296,1243
-643,317,1238
-641,317,1241
-661,342,1236
-633,401,1271
-632,438,1278
-643,445,1246
-643,470,1207
-632,513,1215
-632,518,1212
-620,543,1218
-602,563,1210
-627,600,1195
-638,607,1185
-630,627,1175
-620,651,1187
-617,625,1190
-617,631,1172
-641,622,1167
-617,638,1175
-607,663,1170
-607,686,1160
-607,692,1165
-617,697,1152
-602,712,1162
-625,712,1162
-607,756,1160
-607,758,1137
-600,742,1126
-605,778,1113
-602,796,1123
-612,801,1111
-610,803,1098
-615,813,1098
-617,822,1078
-620,847,1081
-625,878,1056
-605,893,1050
-612,921,1012
-627,947,992
-627,942,975
-630,990,966
-605,1000,971
-607,1011,958
-622,997,948
-602,1026,948
-585,1046,956
-612,1048,941
-592,1038,941
-590,1051,923
-595,1036,901
-597,1066,906
-592,1077,911
-590,1067,903
-585,1067,898
-595,1095,880
-580,1107,850
-580,1146,817
-565,1176,798
-567,1161,783
-555,1163,778
-572,1171,738
-537,1245,697
-555,1278,631
-565,1283,613
-580,1273,603
-547,1291,560
-527,1306,555
-530,1311,532
-535,1322,530
-540,1322,492
-550,1316,463
-516,1360,468
